Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
# Bell#1	Bell#1	Pulsar?	0	0	0	0	0	0	22.5	0.1	0	0	0	0	200	0.05	8.46	<1.0
# M101	M101	?	0	0	21.42	0.1	20.79	0.1	20.16	0.1	0	0	0	0	3000	50	0.120	1.0
000043.72+002001.9	Quasar (OPTICAL Sel.)	SDSS_DR9	0	0	0.0	0	0.0	0	21.2403531276	0	0	0	0	0	11.74	0	1.4	1
PKS J0217+0144	Quasar (RADIO Sel.)	QSO	0	0	18.5	0.1	18.33	0.1	18.51	0.1	13.29	0.1	12.358	0.1	1060.0	1	4.85	10
DM +61 2585	Stellar	Star	0	0	6.17	0.1	6.46	0.1	0	0	0	0	0	0	0.15	0.1	4.885	0.5
HR 9107	Stellar	Star	0	0	6.722	0.1	6.09	0.1	0	0	0	0	0	0	0.18	0.1	8.44	0.5
UU Psc	Stellar	Star	0	0	6.212	0.1	5.9	0.1	0	0	0	0	0	0	11.74	0.1	4.85	0.5
HD 1405	Stellar	RSCVn	0	0	9.808	0.1	8.86	0.1	0	0	0	0	0	0	0.25	0.1	4.85	0.5
TV Cas	Stellar	Algol	0	0	11.33	0.1	10.83	0.1	0	0	0	0	0	0	1	0.1	4.85	0.5
FF And	Stellar	VariableStar	0	0	12.02	0.1	10.52	0.1	0	0	0	0	0	0	0.87	0.1	4.85	0.5
DM +63 83	Stellar	Star	0	0	7.406	0.1	7.58	0.1	0	0	0	0	0	0	0.47	0.1	4.885	0.5
EG And	Stellar	SymbioticStar	0	0	8.793	0.1	7.18	0.1	0	0	0	0	0	0	0.52	0.1	4.85	0.5
CF Tuc	Stellar	RSCVn	0	0	8.75	0.1	7.78	0.1	0	0	0	0	0	0	2.3	0.1	4.85	0.5
27 GAM Cas	Stellar	Star	0	0	1.398	0.1	1.688	0.1	0	0	0	0	0	0	0.25	0.1	4.885	0.5
V 388 Cas	Stellar	VariableStar	0	0	15.34	0.1	13.66	0.1	0	0	0	0	0	0	6.13	0.1	4.85	0.5
ZET Phe	Stellar	Algol	0	0	3.82	0.1	3.94	0.1	0	0	0	0	0	0	7	0.1	4.85	0.5
43 BET And	Stellar	Star	0	0	3.646	0.1	2.07	0.1	0	0	0	0	0	0	0.18	0.1	8.44	0.5
AY Cet	Stellar	RSCVn	0	0	6.308	0.1	5.42	0.1	0	0	0	0	0	0	6.05	0.1	4.85	0.5
UV Psc	Stellar	VariableStar	0	0	9.88	0.1	8.99	0.1	0	0	0	0	0	0	3.53	0.1	4.85	0.5
BI Cet	Stellar	RSCVn	0	0	9.706	0.1	9	0.1	0	0	0	0	0	0	2.96	0.1	4.85	0.5
AR Psc	Stellar	RSCVn	0	0	8.129	0.1	7.3	0.1	0	0	0	0	0	0	4.13	0.1	4.85	0.5
HR 407	Stellar	Star	0	0	6.627	0.1	6.18	0.1	0	0	0	0	0	0	6	0.1	4.85	0.5
AX Per	Stellar	SymbioticStar	0	0	11.91	0.1	10.4	0.1	0	0	0	0	0	0	0.58	0.1	8.44	0.5
UV Cet A	Stellar	VariableStar	0	0	14.42	0.1	12.57	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
UV Cet B	Stellar	VariableStar	0	0	14.55	0.1	12.7	0.1	0	0	0	0	0	0	1.5	0.1	4.85	0.5
V 471 Per	Stellar	Algol	0	0	13.03	0.1	13.03	0.1	0	0	0	0	0	0	0.45	0.1	8.44	0.5
47 Cas	Stellar	Star	0	0	8.02	0.1	7.44	0.1	0	0	0	0	0	0	1.68	0.1	4.85	0.5
Hen 1	Stellar	Star	0	0	9.87	0.1	9.87	0.1	0	0	0	0	0	0	1.5	0.1	4.85	0.5
6 IOT Tri	Stellar	Star	0	0	6.46	0.1	5.69	0.1	0	0	0	0	0	0	0.2	0.1	4.885	0.5
Mira	Stellar	VariableStar	0	0	8.07	0.1	6.47	0.1	0	0	0	0	0	0	0.46	0.1	4.85	0.5
RX J0219.7-102	Stellar	Stellar	0	0	12.41	0.1	11.6	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
KAP For	Stellar	Star	0	0	5.798	0.1	5.19	0.1	0	0	0	0	0	0	0.25	0.1	4.85	0.5
DM +60 502	Stellar	YSO	0	0	4.99	0.1	5.31	0.1	0	0	0	0	0	0	0.5	0.1	4.85	0.5
HD 15570	Stellar	Star	0	0	4.702	0.1	5.012	0.1	0	0	0	0	0	0	0.2	0.1	4.85	0.5
CC Eri	Stellar	VariableStar	0	0	10.24	0.1	8.85	0.1	0	0	0	0	0	0	1.28	0.1	4.85	0.5
V 615 Cas	Stellar	XRB	0	0	0	0	10.7	0.1	0	0	0	0	0	0	92.39	0.1	4.85	0.5
HD 16429	Stellar	VariableStar	0	0	4.61	0.1	4.91	0.1	0	0	0	0	0	0	0.33	0.1	4.85	0.5
DM +56 693	Stellar	Star	0	0	5.79	0.1	6.11	0.1	0	0	0	0	0	0	0.3	0.1	4.885	0.5
UX For	Stellar	RSCVn	0	0	9.075	0.1	8.33	0.1	0	0	0	0	0	0	2.88	0.1	4.85	0.5
RY Per	Stellar	Algol	0	0	8.614	0.1	8.5	0.1	0	0	0	0	0	0	0.09	0.1	4.85	0.5
RZ Cas	Stellar	Algol	0	0	8.458	0.1	7.08	0.1	0	0	0	0	0	0	1.34	0.1	4.85	0.5
HD 237006	Stellar	Star	0	0	10.83	0.1	9.15	0.1	0	0	0	0	0	0	0.7	0.1	4.885	0.5
VY Ari	Stellar	RSCVn	0	0	7.896	0.1	6.94	0.1	0	0	0	0	0	0	7.05	0.1	4.885	0.5
RX J0251.8-020	Stellar	Stellar	0	0	12.915	0.1	12.14	0.1	0	0	0	0	0	0	0.78	0.1	4.85	0.5
RZ Ari	Stellar	Star	0	0	7.212	0.1	5.76	0.1	0	0	0	0	0	0	9	0.1	4.85	0.5
Menkar	Stellar	Star	0	0	4.17	0.1	2.54	0.1	0	0	0	0	0	0	0.74	0.1	8.44	0.5
25 RHO Per	Stellar	Star	0	0	4.848	0.1	3.32	0.1	0	0	0	0	0	0	0.18	0.1	4.885	0.5
Algol	Stellar	Algol	0	0	6.27	0.1	5.37	0.1	0	0	0	0	0	0	66.57	0.1	4.85	0.5
AY Per	Stellar	Algol	0	0	9.4117	0.1	9.41	0.1	0	0	0	0	0	0	0.23	0.1	4.885	0.5
LX Per	Stellar	RSCVn	0	0	8.927	0.1	8.17	0.1	0	0	0	0	0	0	0.51	0.1	4.85	0.5
ALF For	Stellar	Star	0	0	6.87	0.1	6.15	0.1	0	0	0	0	0	0	0.45	0.1	4.85	0.5
CC Cas	Stellar	VariableStar	0	0	4.33	0.1	4.64	0.1	0	0	0	0	0	0	4.82	0.1	4.85	0.5
UX Ari	Stellar	RSCVn	0	0	7.5	0.1	6.6	0.1	0	0	0	0	0	0	28.26	0.1	4.85	0.5
HH 7-11 IRS	Stellar	YSO	0	0	0	0	23.8	0.1	0	0	0	0	0	0	0.8	0.1	4.885	0.5
RX J0333.0+035	Stellar	Stellar	0	0	14.11	0.1	12.78	0.1	0	0	0	0	0	0	0.17	0.1	4.85	0.5
IX Per	Stellar	Star	0	0	7.089	0.1	6.66	0.1	0	0	0	0	0	0	1.55	0.1	4.885	0.5
37 PSI Per	Stellar	Star	0	0	4.262	0.1	4.32	0.1	0	0	0	0	0	0	0.26	0.1	4.85	0.5
V 837 Tau	Stellar	VariableStar	0	0	9.25	0.1	8.1	0.1	0	0	0	0	0	0	0.98	0.1	4.85	0.5
V 711 Tau	Stellar	RSCVn	0	0	6.895	0.1	6.01	0.1	0	0	0	0	0	0	53.23	0.1	4.85	0.5
HR 1105	Stellar	SymbioticStar	0	0	6.731	0.1	5.08	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
RX J0344.8+035	Stellar	Star	0	0	12.65	0.1	11.74	0.1	0	0	0	0	0	0	0.24	0.1	4.85	0.5
HZ 625	Stellar	Star	0	0	12.24	0.1	11.46	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
HZ 939	Stellar	Stellar	0	0	0	0	13.69	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
HZ 1136	Stellar	Stellar	0	0	12.06	0.1	11.34	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
25 ETA Tau	Stellar	Star	0	0	2.764	0.1	2.85	0.1	0	0	0	0	0	0	0.14	0.1	8.4	0.5
B5 IRS 1	Stellar	YSO	0	0	0	0	15.4	0.1	0	0	0	0	0	0	0.11	0.1	4.85	0.5
HZ 1538	Stellar	Stellar	0	0	0	0	12.55	0.1	0	0	0	0	0	0	0.4	0.1	4.85	0.5
V 660 Tau	Stellar	VariableStar	0	0	13.32	0.1	12.41	0.1	0	0	0	0	0	0	0.071	0.1	4.85	0.5
DM +16 516	Stellar	Algol	0	0	10.242	0.1	9.46	0.1	0	0	0	0	0	0	0.72	0.1	4.85	0.5
HD 285281	Stellar	YSO	0	0	10.86	0.1	10	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
HD 285372	Stellar	YSO	0	0	12.46	0.1	11.5	0.1	0	0	0	0	0	0	0.22	0.1	4.85	0.5
RW Tau	Stellar	Star	0	0	11.45	0.1	10.49	0.1	0	0	0	0	0	0	0.25	0.1	4.85	0.5
CF Tau	Stellar	Algol	0	0	9.562	0.1	8.982	0.1	0	0	0	0	0	0	0.85	0.1	4.85	0.5
RX J0405.3+200	Stellar	YSO	0	0	10.795	0.1	10.14	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
HBC 362	Stellar	YSO	0	0	15.53	0.1	14.01	0.1	0	0	0	0	0	0	0.28	0.1	4.76	0.5
RX J0406.8+254	Stellar	YSO	0	0	12.2	0.1	10.82	0.1	0	0	0	0	0	0	0.29	0.1	4.85	0.5
RX J0407.8+175	Stellar	YSO	0	0	12.25	0.1	11.2	0.1	0	0	0	0	0	0	0.18	0.1	4.85	0.5
RX J0408.2+195	Stellar	YSO	0	0	8.46	0.1	7.55	0.1	0	0	0	0	0	0	0.19	0.1	4.85	0.5
DM -52 497	Stellar	Stellar	0	0	9.534	0.1	8.59	0.1	0	0	0	0	0	0	6.24	0.1	4.85	0.5
RX J0409.2+171	Stellar	YSO	0	0	14.14	0.1	12.66	0.1	0	0	0	0	0	0	0.23	0.1	4.85	0.5
RX J0409.8+244	Stellar	YSO	0	0	14.45	0.1	12.95	0.1	0	0	0	0	0	0	0.57	0.1	4.85	0.5
EI Eri	Stellar	RSCVn	0	0	7.742	0.1	7.03	0.1	0	0	0	0	0	0	10.7	0.1	4.85	0.5
RX J0412.8+244	Stellar	YSO	0	0	12.39	0.1	11.62	0.1	0	0	0	0	0	0	0.35	0.1	4.85	0.5
HBC 366	Stellar	VariableStar	0	0	14.9	0.1	13.46	0.1	0	0	0	0	0	0	2.99	0.1	4.85	0.5
DM +09 549	Stellar	Star	0	0	5.15	0.1	5.26	0.1	0	0	0	0	0	0	2.3	0.1	4.85	0.5
HD 283447	Stellar	YSO	0	0	11.789	0.1	10.71	0.1	0	0	0	0	0	0	6.9	0.1	4.885	0.5
RX J0415.3+204	Stellar	YSO	0	0	11.035	0.1	10.41	0.1	0	0	0	0	0	0	0.16	0.1	4.85	0.5
40 OMI(2) Eri	Stellar	Stellar	0	0	13.846	0.1	12.166	0.1	0	0	0	0	0	0	0.31	0.1	4.85	0.5
b Per	Stellar	Star	0	0	4.643	0.1	4.6	0.1	0	0	0	0	0	0	5.24	0.1	4.85	0.5
HD 27130	Stellar	VariableStar	0	0	9.076	0.1	8.32	0.1	0	0	0	0	0	0	0.5	0.1	1.483	0.5
