Name	Type	Subtype	F X-Ray	F X-Ray Error	B	B Error	V	V Error	R	R Error	I	I Error	F IR	F IR Error	F Radio / mJy	F Radio Error	F Radio Freq GHz	T|R-O| (UT)
003928.059+000953.06	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.23	0.1	0	0	0	0	0.53	0	1.4	1
004213.471+005917.47	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.58	0.1	0	0	0	0	0.51	0	1.4	1
004323.433-001552.37	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.47	0.1	0	0	0	0	13.99	0	1.4	1
004849.630+010543.76	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.0	0.1	0	0	0	0	0.78	0	1.4	1
005346.745+005343.23	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.71	0.1	0	0	0	0	0.34	0	1.4	1
010047.728-003751.73	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.27	0.1	0	0	0	0	0.34	0	1.4	1
010113.382-002948.23	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.61	0.1	0	0	0	0	0.79	0	1.4	1
010329.444+004053.47	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.39	0.1	0	0	0	0	3.57	0	1.4	1
010545.633-005448.58	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.34	0.1	0	0	0	0	0.47	0	1.4	1
010619.245+004823.55	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.03	0.1	0	0	0	0	0.41	0	1.4	1
011536.870-000009.93	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.68	0.1	0	0	0	0	0.46	0	1.4	1
011758.822+002021.48	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	17.89	0.1	0	0	0	0	0.34	0	1.4	1
012136.736-001812.76	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.08	0.1	0	0	0	0	7.7	0	1.4	1
012750.413-000919.52	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.98	0.1	0	0	0	0	0.53	0	1.4	1
012824.219+001925.16	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.55	0.1	0	0	0	0	0.46	0	1.4	1
013656.322-004623.74	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.16	0.1	0	0	0	0	0.48	0	1.4	1
013722.496-003559.96	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.01	0.1	0	0	0	0	0.38	0	1.4	1
013722.985-001746.43	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.76	0.1	0	0	0	0	0.48	0	1.4	1
013918.267-010202.26	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	17.94	0.1	0	0	0	0	0.62	0	1.4	1
013929.536+001327.44	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.78	0.1	0	0	0	0	0.46	0	1.4	1
014023.770+010043.45	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.1	0.1	0	0	0	0	0.45	0	1.4	1
014040.704+001758.18	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.19	0.1	0	0	0	0	0.62	0	1.4	1
014103.818+010501.00	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.42	0.1	0	0	0	0	0.72	0	1.4	1
014552.554+005151.70	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.75	0.1	0	0	0	0	0.55	0	1.4	1
014641.196+010815.92	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	17.27	0.1	0	0	0	0	0.37	0	1.4	1
014905.268-011404.76	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.7	0.1	0	0	0	0	0.56	0	1.4	1
014950.957-010314.06	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	17.52	0.1	0	0	0	0	0.68	0	1.4	1
014958.556-003023.28	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.0	0.1	0	0	0	0	0.38	0	1.4	1
015034.542-000200.79	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.68	0.1	0	0	0	0	0.36	0	1.4	1
015057.524-004547.39	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.46	0.1	0	0	0	0	0.99	0	1.4	1
015134.818-000010.44	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.36	0.1	0	0	0	0	0.48	0	1.4	1
015213.365-004302.44	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.0	0.1	0	0	0	0	0.34	0	1.4	1
015249.766+002314.53	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.02	0.1	0	0	0	0	0.8	0	1.4	1
015528.644-003856.57	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.51	0.1	0	0	0	0	0.35	0	1.4	1
015553.845-010822.32	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.53	0.1	0	0	0	0	0.9	0	1.4	1
015650.285+005308.54	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.64	0.1	0	0	0	0	0.89	0	1.4	1
015733.879-004824.66	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.41	0.1	0	0	0	0	0.5	0	1.4	1
015819.767-001222.05	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.67	0.1	0	0	0	0	0.79	0	1.4	1
015921.138+002014.64	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.89	0.1	0	0	0	0	0.65	0	1.4	1
020122.776-000248.62	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.48	0.1	0	0	0	0	0.48	0	1.4	1
020258.940-002807.08	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.29	0.1	0	0	0	0	0.35	0	1.4	1
020818.643-000533.76	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.84	0.1	0	0	0	0	0.34	0	1.4	1
021101.007-004401.95	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.64	0.1	0	0	0	0	0.35	0	1.4	1
021337.624+002556.61	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.17	0.1	0	0	0	0	0.53	0	1.4	1
021447.016-003250.66	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.11	0.1	0	0	0	0	0.57	0	1.4	1
021735.439+001456.28	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.3	0.1	0	0	0	0	0.7	0	1.4	1
220759.418+001722.51	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.77	0.1	0	0	0	0	0.39	0	1.4	1
220850.458-000234.03	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.16	0.1	0	0	0	0	0.53	0	1.4	1
220851.965-010603.47	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.1	0.1	0	0	0	0	0.46	0	1.4	1
221337.968-004305.90	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	17.47	0.1	0	0	0	0	0.44	0	1.4	1
221910.546+005606.45	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.07	0.1	0	0	0	0	0.36	0	1.4	1
222030.090-002216.29	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.96	0.1	0	0	0	0	1.43	0	1.4	1
222405.954+001829.18	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.17	0.1	0	0	0	0	0.36	0	1.4	1
222518.681+011243.14	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.53	0.1	0	0	0	0	0.41	0	1.4	1
222532.862+005714.47	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.9	0.1	0	0	0	0	0.54	0	1.4	1
222606.184-003232.46	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	20.6	0.1	0	0	0	0	0.41	0	1.4	1
222639.188-000342.61	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.58	0.1	0	0	0	0	0.37	0	1.4	1
222726.285-002855.49	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	17.96	0.1	0	0	0	0	0.33	0	1.4	1
223146.180-002745.75	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.45	0.1	0	0	0	0	0.6	0	1.4	1
223438.535+005730.00	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.19	0.1	0	0	0	0	0.32	0	1.4	1
223704.932-010551.51	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	18.9	0.1	0	0	0	0	0.59	0	1.4	1
223925.934+000340.37	Quasar (Stripe82)	Stripe82	0	0	0	0	0	0	19.63	0.1	0	0	0	0	0.61	0	1.4	1
