Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
T Pyx	66.9	0	0	8.19523513325	0.0	0	0	0	0	0.13	0.017	5
T Pyx	101.8	0	0	9.83625869591	0.0	0	0	0	0	0.304	0.031	5
T Pyx	128.7	0	0	10.7441638291	0.0	0	0	0	0	1.128	0.061	5
T Pyx	163.6	0	0	11.2560072155	0.0	0	0	0	0	3.014	0.161	5
T Pyx	194.5	0	0	11.4290960736	0.0	0	0	0	0	3.816	0.196	5
T Pyx	210.5	0	0	11.6616544292	0.0	0	0	0	0	3.685	0.19	5
T Pyx	237.4	0	0	12.2584787449	0.0	0	0	0	0	4.27	0.219	5
T Pyx	300.2	0	0	13.2139076806	0.0	0	0	0	0	3.802	0.193	5
T Pyx	331.1	0	0	13.4117482705	0.0	0	0	0	0	3.085	0.16	5
T Pyx	512.6	0	0	14.5974401963	0.0	0	0	0	0	0.669	0.065	5
