Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
V1974 Cyg	77.2735541885	0	0	8.3	0.0	0	0	0	0	1.17302408872	0.1173024	5.0
V1974 Cyg	100.892992593	0	0	7.8	0.0	0	0	0	0	1.5776832037	0.1577683	5.0
V1974 Cyg	115.285864817	0	0	8.3	0.0	0	0	0	0	1.98166255424	0.1981663	5.0
V1974 Cyg	135.292627512	0	0	8.8	0.0	0	0	0	0	4.20496491224	0.4204965	5.0
V1974 Cyg	153.224490292	0	0	8.2	0.0	0	0	0	0	6.94359142921	0.6943591	5.0
V1974 Cyg	170.474816508	0	0	9.0	0.0	0	0	0	0	9.55428121285	0.9554281	5.0
V1974 Cyg	173.533065749	0	0	8.8	0.0	0	0	0	0	11.2074020131	1.1207402	5.0
V1974 Cyg	207.301438908	0	0	9.1	0.0	0	0	0	0	14.4017690297	1.4401769	5.0
V1974 Cyg	256.605765058	0	0	9.5	0.0	0	0	0	0	21.2193791685	2.1219379	5.0
V1974 Cyg	314.825207352	0	0	10.2	0.0	0	0	0	0	22.2092888997	2.2209289	5.0
V1974 Cyg	335.039895929	0	0	10.6	0.0	0	0	0	0	24.8908429124	2.4890843	5.0
V1974 Cyg	411.054695841	0	0	11.1	0.0	0	0	0	0	26.0520308727	2.6052031	5.0
V1974 Cyg	527.239235959	0	0	12.3	0.0	0	0	0	0	17.2831843512	1.7283184	5.0
V1974 Cyg	597.120217693	0	0	12.8	0.0	0	0	0	0	13.1465525334	1.3146553	5.0
V1974 Cyg	670.27778567	0	0	12.8	0.0	0	0	0	0	8.33282150848	0.8332822	5.0
V1974 Cyg	772.735541885	0	0	13.0	0.0	0	0	0	0	5.52807921197	0.5528079	5.0
V1974 Cyg	939.664831495	0	0	13.8	0.0	0	0	0	0	2.60520308727	0.2605203	5.0
