Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GRB 030329	0.58	15.67	0.029	15.38	0.024	15.03	0.022			3.50	0.06	8.64
GRB 030329	1.05	16.86	0.01	16.5	0.01	16.17	0.013	15.8	0.02	1.98	0.17	8.64
GRB 030329	2.65			17.264	0.03	16.88	0.05	16.37	0.06	8.50	0.05	8.64
GRB 030329	3.57	17.93	0.08	17.55	0.03	17.18	0.05			6.11	0.04	8.64
GRB 030329	4.76	18.58	0.04	18.06	0.04	17.74	0.04	17.31	0.04	9.68	0.03	8.64
GRB 030329	6.89	19.1	0.04	18.67	0.036	18.35	0.04	17.92	0.04	15.56	0.06	8.64
GRB 030329	7.68	19.43	0.07	19.01	0.05	18.68	0.04	18.27	0.05	12.55	0.21	8.64
GRB 030329	9.49	19.7	0.06	19.16	0.04	18.89	18.48	0.05		13.58	0.09	8.64
GRB 030329	11.9	20.06	0.05	19.52	0.05	19.21	0.04	18.94	0.07	17.70	0.05	8.64
GRB 030329	12.69	20.34	0.06			19.31	0.05			17.28	0.10	8.64
GRB 030329	14.87					19.43	0.09			19.15	0.08	8.64
GRB 030329	18.72					19.81	0.18			15.92	0.07	8.64
GRB 030329	20.58					19.89	0.06			16.08	0.06	8.64
GRB 030329	25.7	21.47	0.07			20.13	0.05			15.34	0.06	8.64
GRB 030329	28.44					20.3	0.07			12.67	0.09	8.64
GRB 030329	31.51					20.52	0.05			13.55	0.07	8.64
GRB 030329	33.58					20.61	0.05			13.10	0.06	8.64
GRB 030329	36.52					20.83	0.09			10.64	0.06	8.64
GRB 030329	59.55					21.41	0.08			4.48	0.09	8.64
GRB 030329	66.53					21.61	0.06			4.93	0.06	8.64
