Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
3C 454.3	2008-04-20 12:23:02.400	0	0	0	0	15.484	0.018	0	0	8957.0	287.0	8.0
3C 454.3	2008-05-08 12:00:00.000	0	0	0	0	15.313	0.01	0	0	8740.0	14.0	8.0
3C 454.3	2008-05-21 12:00:00.000	0	0	0	0	14.85	0.01	0	0	8721.0	12.0	8.0
3C 454.3	2008-06-03 11:55:55.488	0	0	0	0	14.715	0.01	0	0	9430.0	70.0	8.0
3C 454.3	2008-06-23 08:26:52.800	0	0	0	0	14.714	0.018	0	0	9399.0	288.0	8.0
3C 454.3	2008-06-26 12:00:00.000	0	0	0	0	15.011	0.02	0	0	9073.0	22.0	8.0
3C 454.3	2008-07-02 09:13:44.256	0	0	0	0	14.565	0.018	0	0	9830.0	50.0	8.0
3C 454.3	2008-07-06 02:42:43.200	0	0	0	0	14.306	0.017	0	0	9571.0	294.0	8.0
3C 454.3	2008-07-14 12:00:00.000	0	0	0	0	13.473	0.021	0	0	9234.0	24.0	8.0
3C 454.3	2008-07-20 02:08:09.600	0	0	0	0	14.002	0.019	0	0	9723.0	320.0	8.0
3C 454.3	2008-07-28 12:00:00.000	0	0	0	0	14.403	0.01	0	0	9437.0	15.0	8.0
3C 454.3	2008-07-31 07:05:20.832	0	0	0	0	14.448	0.011	0	0	9870.0	120.0	8.0
3C 454.3	2008-08-05 07:35:09.312	0	0	0	0	14.369	0.032	0	0	10610.0	130.0	8.0
3C 454.3	2008-08-09 12:00:00.000	0	0	0	0	14.644	0.01	0	0	9493.0	17.0	8.0
3C 454.3	2008-08-22 05:37:44.256	0	0	0	0	14.601	0.01	0	0	9440.0	220.0	8.0
3C 454.3	2008-08-26 06:10:22.944	0	0	0	0	14.671	0.015	0	0	10330.0	50.0	8.0
3C 454.3	2008-08-27 12:00:00.000	0	0	0	0	14.676	0.01	0	0	9818.0	25.0	8.0
3C 454.3	2008-09-10 04:48:06.912	0	0	0	0	14.56	0.01	0	0	10270.0	170.0	8.0
3C 454.3	2008-09-12 04:25:30.432	0	0	0	0	14.489	0.01	0	0	10270.0	130.0	8.0
3C 454.3	2008-09-13 23:18:14.400	0	0	0	0	14.269	0.016	0	0	10467.0	759.0	8.0
