Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 1993J	11.37	12.07	0	11.66	0	11.31	0	11.07	0	0.750	0.063	8.3
SN 1993J	13.04	11.85	0	11.37	0	11.04	0	10.89	0	1.330	0.097	8.3
SN 1993J	14.25	11.69	0	11.27	0	10.94	0	10.78	0	1.890	0.107	8.3
SN 1993J	16.53	11.51	0	11.05	0	10.75	0	10.63	0	3.140	0.172	8.3
SN 1993J	17.07	11.44	0	10.97	0	10.68	0	10.56	0	3.590	0.189	8.3
SN 1993J	22.25	11.45	0	10.82	0	10.51	0	10.41	0	7.860	0.396	8.3
SN 1993J	24.51	11.56	0	10.9	0	10.56	0	10.4	0	9.710	0.491	8.3
SN 1993J	25.48	11.77	0	11	0	10.61	0	10.46	0	11.770	0.592	8.3
SN 1993J	26.88	11.94	0	11.09	0	10.66	0	10.47	0	14.610	0.735	8.3
SN 1993J	28.99	0	0	11.28	0	10.82	0	10.55	0	16.710	0.839	8.3
# SN 1993J		0	0	0	0	0	0	10.59	0	18.580	0.932	8.3
SN 1993J	30.84	12.62	0	11.47	0	10.95	0	10.68	0	19.730	0.991	8.3
SN 1993J	31.52	12.75	0	11.59	0	11.06	0	10.76	0	20.550	1.031	8.3
SN 1993J	32.5	12.82	0	11.62	0	11.05	0	10.79	0	21.930	1.103	8.3
SN 1993J	34.37	12.93	0	11.74	0	11.16	0	10.86	0	26.000	1.302	8.3
SN 1993J	35.71	13.08	0	11.83	0	11.23	0	10.92	0	30.310	1.518	8.3
SN 1993J	37.27	13.2	0	11.92	0	11.28	0	10.92	0	33.320	1.668	8.3
SN 1993J	40.11	13.37	0	12.09	0	11.48	0	11.13	0	37.070	1.854	8.3
SN 1993J	44.74	0	0	12.2	0	11.55	0	11.1	0	52.100	2.611	8.3
SN 1993J	47.2	13.54	0	12.27	0	11.64	0	11.27	0	59.030	2.960	8.3
SN 1993J	50.13	13.6	0	12.3	0	11.7	0	11.26	0	61.910	3.099	8.3
SN 1993J	53.17	13.64	0	12.44	0	11.84	0	11.45	0	63.900	3.201	8.3
SN 1993J	63.04	0	0	12.54	0	11.98	0	11.53	0	81.500	4.080	8.3
SN 1993J	75.06	13.78	0	12.75	0	12.22	0	11.76	0	90.740	4.538	8.3
SN 1993J	82.92	13.89	0	12.9	0	12.33	0	11.91	0	108.980	5.472	8.3
SN 1993J	89.75	13.88	0	13.02	0	12.52	0	12.06	0	101.370	5.094	8.3
# SN 1993J		0	0	13.15	0	0	0	12.22	0	102.730	5.138	8.3
# SN 1993J		0	0	0	0	0	0	12.33	0	129.360	6.472	8.3
# SN 1993J	1993 Jul 19	0	0	13.5	0	0	0	12.69	0	108.630	5.434	8.3
SN 1993J	182.75	0	0	0	0	14.46	0	0	0	70.460	3.594	8.3
SN 1993J	236.58	0	0	15.96	0	15.22	0	15.13	0	64.320	3.252	8.3
SN 1993J	252.58	0	0	16.19	0	15.41	0	15.38	0	59.630	2.994	8.3
SN 1993J	266.58	16.69	0	0	0	15.69	0	0	0	56.880	2.873	8.3
SN 1993J	274.56	16.96	0	0	0	15.74	0	0	0	55.750	3.156	8.3
SN 1993J	285.37	16.91	0	16.71	0	15.89	0	15.94	0	55.740	2.817	8.3
SN 1993J	291.51	0	0	0	0	15.62	0	15.79	0	54.640	2.804	8.3
SN 1993J	305.3	0	0	17.04	0	16.13	0	16.2	0	55.430	2.832	8.3
SN 1993J	317.22	0	0	0	0	16.2	0	0	0	60.240	3.106	8.3
