Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 1994I	3.167	0	0	13.78	0.04	13.5	0.1	13.43	0	0.554	0.062	8.3
SN 1994I	4.120	13.97	0.08	13.39	0.01	13.21	0.02	13.09	0.01	0.737	0.120	8.3
SN 1994I	5.350	0	0	13.2	0	12.98	0	12.86	0.01	1.743	0.108	8.3
SN 1994I	7.028	13.68	0.021	12.99	0.01	12.72	0.02	12.6	0.01	3.656	0.194	8.3
SN 1994I	8.288	0	0	12.95	0.04	12.71	0.04	0	0	4.990	0.250	8.3
SN 1994I	9.386	0	0	13	0.03	12.68	0.02	0	0	6.514	0.334	8.3
SN 1994I	10.561	13.81	0.07	12.91	0.01	12.62	0.02	12.49	0.01	8.930	0.455	8.3
SN 1994I	12.395	14.23	0.04	13.13	0.02	12.74	0.03	12.56	0	11.43	0.577	8.3
SN 1994I	13.372	14.35	0.03	13.14	0.01	12.77	0.02	15.59	0.01	12.605	0.646	8.3
SN 1994I	14.367	0	0	13.37	0.02	12.92	0.03	12.62	0.01	13.000	0.660	8.3
SN 1994I	15.360	14.75	0.02	13.46	0.01	13.04	0.02	12.72	0.01	14.500	0.733	8.3
SN 1994I	16.356	14.81	0.02	13.59	0.01	13.04	0	12.8	0.01	16.200	0.820	8.3
SN 1994I	17.363	0	0	13.78	0.02	13.27	0.04	13	0.01	17.200	0.871	8.3
SN 1994I	18.199	15.28	0.03	13.93	0.01	13.41	0.02	13	0.01	15.770	0.810	8.3
SN 1994I	20.494	15.28	0.01	14.07	0.01	13.51	0.02	13.08	0.02	16.483	0.850	8.3
SN 1994I	25.333	0	0	14.49	0.02	13.92	0.04	13.5	0.02	12.300	0.651	8.3
SN 1994I	28.163	15.97	0.3	15.11	0.01	14.5	0.01	13.96	0.02	14.723	0.760	8.3
SN 1994I	30.320	0	0	15.01	0.04	14.49	0.02	14	0.03	14.650	0.757	8.3
SN 1994I	33.279	0	0	15.26	0.12	14.81	0.19	14.1	0.02	11.440	0.591	8.3
SN 1994I	40.228	0	0	15.36	0.03	14.87	0.04	14.34	0.05	13.040	0.656	8.3
SN 1994I	45.179	16.76	0.08	15.7	0.04	15.21	0.05	0	0	12.788	0.652	8.3
SN 1994I	49.252	0	0	15.65	0.08	15.19	0.08	14.65	0.03	11.040	0.554	8.3
SN 1994I	53.208	0	0	16.03	0.21	15.5	0.29	14.91	0.02	11.305	0.570	8.3
SN 1994I	58.136	0	0	15.87	0.09	15.56	0.21	14.9	0.13	8.400	0.425	8.3
SN 1994I	62.188	16.93	0.17	16.21	0.04	15.74	0.06	15.08	0.02	7.670	0.392	8.3
SN 1994I	130.937	18.1	0.18	17.6	0.06	16.93	0.09	16.34	0.05	2.750	0.150	8.3
