Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 1998bw	3.0			15.55	0.08	15.59	0.07			13	0	8.64
SN 1998bw	9.9	14.57	0.08	14.19	0.06	14.21	0.06	14.21	0.04	48	0	8.64
SN 1998bw	11.7	14.46	0.06	14	0.05	14.02	0.05	14.03	0.04	49.4	0	8.64
SN 1998bw	14.6	14.33	0.05	13.85	0.05	13.86	0.05	13.87	0.03	37.6	0	8.64
SN 1998bw	15.7	14.32	0.07	13.78	0.08	13.79	0.08	13.8	0.04	34.3	0	8.64
SN 1998bw	17.8			13.76	0.13	13.73	0.07			26.2	0	8.64
SN 1998bw	19.7	14.53	0.06	13.87	0.06	13.78	0.05	13.79	0.05	21.6	0	8.64
SN 1998bw	21.6	14.68	0.1	13.97	0.08	13.82	0.08	13.81	0.05	18.8	0	8.64
SN 1998bw	23.6	14.93	0.07	14.09	0.06	13.89	0.07	13.87	0.04	17.6	0	8.64
SN 1998bw	25.9	15.08	0.22	14.17	0.14	13.97	0.13	13.91	0.07	20.9	0	8.64
SN 1998bw	26.8	15.26	0.09	14.3	0.07	14.02	0.07	13.97	0.04	21.7	0	8.64
SN 1998bw	28.8	15.3	0.07	14.34	0.06	14.07	0.07	13.97	0.05	22	0	8.64
SN 1998bw	30.0	15.51	0.05	14.48	0.05	14.19	0.05	14.02	0.05	22.1	0	8.64
SN 1998bw	32.9	15.69	0.05	14.65	0.06	14.4	0.08	14.14	0.08	21.3	0	8.64
SN 1998bw	34.7	15.91	0.05	14.83	0.05	14.42	0.05	14.29	0.03	20.2	0	8.64
SN 1998bw	36.8	15.98	0.05	14.92	0.05	14.54	0.05	14.42	0.04	18.4	0	8.64
SN 1998bw	38.8	16.08	0.05	15.03	0.05	14.63	0.05	14.55	0.03	16.1	0	8.64
SN 1998bw	40.0	16.1	0.05	15.08	0.05	14.7	0.05	14.56	0.03	16.6	0	8.64
SN 1998bw	45.7	16.21	0.1	     	     	14.95	0.05			13.2	0	8.64
SN 1998bw	51.7	16.4	0.05	     	     	15.14	0.05			10.5	0	8.64
SN 1998bw	57.7					15.22	0.06			8.1	0	8.64
SN 1998bw	80.5	16.92	0.01	16.16	0.01	15.84	0.01	15.53	0.01	4.1	0	8.64
