Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 2004dj	22.5875831486	0	0	11.89	0.02	0	0	0	0	1.79661016949	0.0	5.0
SN 2004dj	40.4146341463	0	0	11.97	0.02	0	0	0	0	1.74858757062	0.0	5.0
SN 2004dj	43.6075388027	0	0	11.97	0.02	0	0	0	0	1.12711864407	0.0	5.0
SN 2004dj	46.534368071	0	0	12.01	0.02	0	0	0	0	1.24858757062	0.0	5.0
SN 2004dj	50.6585365854	0	0	12.06	0.02	0	0	0	0	0.779661016949	0.0	5.0
SN 2004dj	52.9201773836	0	0	12.05	0.02	0	0	0	0	0.937853107345	0.0	5.0
SN 2004dj	56.645232816	0	0	12.09	0.03	0	0	0	0	0.960451977401	0.0	5.0
SN 2004dj	59.3059866962	0	0	12.12	0.02	0	0	0	0	1.14971751412	0.0	5.0
SN 2004dj	62.7649667406	0	0	12.22	0.02	0	0	0	0	0.799435028249	0.0	5.0
SN 2004dj	67.9534368071	0	0	12.32	0.02	0	0	0	0	1.0197740113	0.0	5.0
SN 2004dj	133.407982262	0	0	14.93	0.02	0	0	0	0	0.680790960452	0.0	5.0
