Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 2007uy	14.0	0	0	0	0	15.54	0.01	0	0	0.459	0.469	8.4
SN 2007uy	17.0	0	0	0	0	15.51	0.03	0	0	0.513	0.04	8.4
SN 2007uy	19.0	0	0	0	0	15.44	0.01	0	0	0.688	0.057	8.4
SN 2007uy	20.0	0	0	0	0	15.4	0.01	0	0	0.566	0.053	8.4
SN 2007uy	30.0	0	0	0	0	15.72	0.01	0	0	0.965	0.081	8.4
SN 2007uy	33.0	0	0	0	0	15.81	0.02	0	0	0.953	0.07	8.4
SN 2007uy	35.0	0	0	0	0	15.89	0.01	0	0	0.968	0.068	8.4
SN 2007uy	37.0	0	0	0	0	16.08	0.02	0	0	1.044	0.075	8.4
SN 2007uy	42.0	0	0	0	0	16.4	0.03	0	0	1.011	0.075	8.4
SN 2007uy	55.0	0	0	0	0	16.66	0.03	0	0	0.522	0.048	8.4
SN 2007uy	58.0	0	0	0	0	16.84	0.03	0	0	0.677	0.046	8.4
SN 2007uy	70.0	0	0	0	0	17.05	0.04	0	0	0.596	0.062	8.4
