Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
SN 2009bb	12.2	0	0	16.21	0.1	0	0	0	0	24.681	0.066	8.46
SN 2009bb	15.2	0	0	16.41	0.04	0	0	0	0	17.568	0.088	8.46
SN 2009bb	20.2	0	0	16.9	0.04	0	0	0	0	16.349	0.107	8.46
SN 2009bb	22.1	0	0	17.11	0.05	0	0	0	0	13.812	0.114	8.46
SN 2009bb	30.2	0	0	17.67	0.06	0	0	0	0	8.881	0.121	8.46
SN 2009bb	36.1	0	0	17.95	0.11	0	0	0	0	7.714	0.095	8.46
SN 2009bb	40.1	0	0	18.15	0.1	0	0	0	0	8.482	0.098	8.46
SN 2009bb	47.1	0	0	18.36	0.12	0	0	0	0	6.824	0.102	8.46
SN 2009bb	50.0	0	0	18.75	0.17	0	0	0	0	6.327	0.151	8.46
SN 2009bb	57.1	0	0	18.99	0.18	0	0	0	0	3.294	0.118	8.46
