Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GX 339-4	0			17.34	0.01			16.17	0.01	0.39	0.04	9
GX 339-4	3			17.75	0.02			16.47	0.01	0.59	0.04	9
GX 339-4	7			18.01	0.02			16.7	0.01	4.17	0.05	9
GX 339-4	9			17.75	0.02			16.45	0.01	3.87	0.05	9
GX 339-4	12			17.11	0.01			15.73	0.01	3.98	0.1	9
GX 339-4	14			17.21	0.01			15.83	0.01	3.84	0.05	9
GX 339-4	18			17.17	0.01			15.72	0.01	2.95	0.05	9
GX 339-4	21			17	0.01			15.62	0.01	2.42	0.08	9
GX 339-4	25			17.63	0.01			15.73	0.01	1.64	0.05	9
GX 339-4	29			17.2	0.01			15.8	0.01	1.26	0.1	9
GX 339-4	31			17.21	0.01			15.78	0.01	1.38	0.08	9
GX 339-4	42			17.45	0.01			16.07	0.01	0.74	0.04	9
GX 339-4	44			17.77	0.02			16.26	0.01	0.76	0.05	9
GX 339-4	68			18.66	0.02			17.26	0.02	0.4	0.03	9
GX 339-4	80			19.67	0.05			17.89	0.03	0.39	0.1	9
