Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
GRO J1655-40	53421.575	0	0	17.017	0.063	0	0	0	0	1.34	0.0	4.86
GRO J1655-40	53424.5891	0	0	16.947	0.061	0	0	0	0	1.59	0.0	4.86
GRO J1655-40	53425.5089	0	0	16.758	0.057	0	0	0	0	1.49	0.0	4.86
GRO J1655-40	53428.5294	0	0	16.786	0.06	0	0	0	0	1.75	0.0	4.86
GRO J1655-40	53433.5149	0	0	16.677	0.058	0	0	0	0	1.89	0.0	4.86
GRO J1655-40	53435.5242	0	0	16.885	0.062	0	0	0	0	1.32	0.0	4.86
GRO J1655-40	53438.5786	0	0	16.511	0.06	0	0	0	0	1.36	0.0	4.86
GRO J1655-40	53439.4845	0	0	16.386	0.057	0	0	0	0	1.08	0.0	4.86
GRO J1655-40	53445.5854	0	0	16.254	0.06	0	0	0	0	1.8	0.0	4.86
GRO J1655-40	53447.6	0	0	15.917	0.06	0	0	0	0	3.9	0.1	4.86
GRO J1655-40	53449.5	0	0	15.623	0.061	0	0	0	0	2.4	0.1	4.86
GRO J1655-40	53451.6	0	0	15.467	0.06	0	0	0	0	1.4	0.1	4.86
GRO J1655-40	53453.6	0	0	15.462	0.063	0	0	0	0	1.4	0.2	4.86
GRO J1655-40	53460.5	0	0	15.083	0.057	0	0	0	0	0.4	0.1	4.86
GRO J1655-40	53465.5	0	0	15.094	0.057	0	0	0	0	0.5	0.1	4.86
GRO J1655-40	53467.4	0	0	15.088	0.053	0	0	0	0	0.56	0.0	4.86
