Name	Date	B	B Error	V	V Error	R	R Error	I	I Error	RadioFlux	RadioFlux Error	RadioFreq
XTE J1859+226	51467.904	0	0	0	0	15.3384689852	0.0	0	0	114.0	0.0	2.25
XTE J1859+226	51469.899	0	0	0	0	15.5962180954	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51470.09	0	0	0	0	15.4786123322	0.0	0	0	7.0	0.0	2.25
XTE J1859+226	51472.032	0	0	0	0	15.3707042821	0.0	0	0	9.0	0.0	2.25
XTE J1859+226	51473.857	0	0	0	0	15.4562354687	0.0	0	0	6.0	0.0	2.25
XTE J1859+226	51474.026	0	0	0	0	15.7109053058	0.0	0	0	5.0	0.0	2.25
XTE J1859+226	51475.024	0	0	0	0	15.6244908977	0.0	0	0	9.0	0.0	2.25
XTE J1859+226	51477.847	0	0	0	0	15.6432500216	0.0	0	0	14.0	0.0	2.25
XTE J1859+226	51478.016	0	0	0	0	15.6818373556	0.0	0	0	10.0	0.0	2.25
XTE J1859+226	51479.979	0	0	0	0	15.7406952536	0.0	0	0	16.0	0.0	2.25
XTE J1859+226	51480.011	0	0	0	0	15.8258720588	0.0	0	0	33.0	0.0	2.25
XTE J1859+226	51485.994	0	0	0	0	15.944154927	0.0	0	0	17.0	0.0	2.25
XTE J1859+226	51486.991	0	0	0	0	15.9217993775	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51487.989	0	0	0	0	16.0475381014	0.0	0	0	8.0	0.0	2.25
XTE J1859+226	51489.983	0	0	0	0	16.0695645661	0.0	0	0	12.0	0.0	2.25
XTE J1859+226	51491.946	0	0	0	0	15.9954393978	0.0	0	0	5.0	0.0	2.25
XTE J1859+226	51492.871	0	0	0	0	16.1685135579	0.0	0	0	12.0	0.0	2.25
XTE J1859+226	51492.975	0	0	0	0	16.1271521349	0.0	0	0	11.0	0.0	2.25
XTE J1859+226	51496.933	0	0	0	0	16.1078150817	0.0	0	0	23.0	0.0	2.25
XTE J1859+226	51497.857	0	0	0	0	16.5355772805	0.0	0	0	19.0	0.0	2.25
XTE J1859+226	51499.853	0	0	0	0	16.2358865029	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51500.891	0	0	0	0	16.2750224779	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51501.889	0	0	0	0	16.1736854513	0.0	0	0	18.0	0.0	2.25
XTE J1859+226	51502.886	0	0	0	0	16.3286186047	0.0	0	0	16.0	0.0	2.25
XTE J1859+226	51504.88	0	0	0	0	16.2119696217	0.0	0	0	18.0	0.0	2.25
XTE J1859+226	51505.877	0	0	0	0	16.3770039027	0.0	0	0	12.0	0.0	2.25
XTE J1859+226	51508.869	0	0	0	0	16.6007834607	0.0	0	0	11.0	0.0	2.25
XTE J1859+226	51510.822	0	0	0	0	16.4390825509	0.0	0	0	17.0	0.0	2.25
XTE J1859+226	51511.861	0	0	0	0	16.701765331	0.0	0	0	9.0	0.0	2.25
XTE J1859+226	51515.85	0	0	0	0	16.0037220844	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51516.848	0	0	0	0	16.8895781638	0.0	0	0	9.0	0.0	2.25
XTE J1859+226	51519.839	0	0	0	0	16.3275434243	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51520.836	0	0	0	0	16.982630273	0.0	0	0	11.0	0.0	2.25
XTE J1859+226	51521.833	0	0	0	0	16.4615384615	0.0	0	0	9.0	0.0	2.25
XTE J1859+226	51522.831	0	0	0	0	15.9255583127	0.0	0	0	7.0	0.0	2.25
XTE J1859+226	51525.781	0	0	0	0	16.7369727047	0.0	0	0	4.0	0.0	2.25
XTE J1859+226	51525.822	0	0	0	0	16.7071960298	0.0	0	0	7.0	0.0	2.25
XTE J1859+226	51527.817	0	0	0	0	16.2605459057	0.0	0	0	9.0	0.0	2.25
XTE J1859+226	51528.814	0	0	0	0	16.4652605459	0.0	0	0	10.0	0.0	2.25
XTE J1859+226	51531.807	0	0	0	0	16.3908188586	0.0	0	0	12.0	0.0	2.25
XTE J1859+226	51533.759	0	0	0	0	16.6215880893	0.0	0	0	6.0	0.0	2.25
XTE J1859+226	51533.801	0	0	0	0	16.58808933	0.0	0	0	8.0	0.0	2.25
XTE J1859+226	51534.798	0	0	0	0	16.1563275434	0.0	0	0	15.0	0.0	2.25
XTE J1859+226	51535.795	0	0	0	0	16.2828784119	0.0	0	0	13.0	0.0	2.25
XTE J1859+226	51540.781	0	0	0	0	16.5210918114	0.0	0	0	14.0	0.0	2.25
XTE J1859+226	51542.776	0	0	0	0	16.547146402	0.0	0	0	12.0	0.0	2.25
