object,distance
DM +36 3956,1821.4936247723133
MWC 297,529.1005291005291
25 RHO Per,99.70089730807578
HR 6967,485.43689320388347
RY Per,628.9308176100628
Rositter 137B,14.943215780035862
BET Cae,27.65486725663717
DM -23 4553,1562.4999999999998
MWC 349,10.0
DM -62 4482,127.38853503184714
KAP For,21.929824561403507
GV Tau,140.84507042253523
DM -21 5735,99.00990099009901
MUE Cep,599.880023995201
RT Lac A,192.67822736030828
XY Leo,63.051702395964696
IW Tau,140.84507042253523
BET Vol,33.101621979476995
DM -19 4854,1890.3591682419658
VW Cep,27.65486725663717
VCLS 14,2000.0
VCLS 15,1779.3594306049818
HD 285372,140.84507042253523
LFAM a8,149.92503748125938
37 THE Aur,53.10674455655868
LFAM a4,149.92503748125938
LFAM a5,149.92503748125938
LFAM a7,149.92503748125938
Naos,429.18454935622316
LFAM a2,149.92503748125938
LFAM a3,149.92503748125938
DM +61 2585,4098.360655737705
29 Sgr,229.8850574712644
FF Aqr,126.42225031605562
GSS 29,149.92503748125938
Haro 4-255,454.5454545454545
VCLS 86,1949.317738791423
IM Peg,96.80542110358179
VCLS 81,1751.3134851138354
DM -32 9477,769.2307692307692
ER Vul B,49.85044865403789
HR 2072,127.22646310432569
VCLS 65,2577.319587628866
Cyg OB2-5,1801.8018018018017
AU Mic,9.941346058256288
Cyg OB2-12,1821.4936247723133
HZ 1136,126.10340479192939
V 775 Her,21.44082332761578
QW Sge,10000.0
DM +49 2596,413.22314049586777
V 455 Sco,5000.0
V 615 Cas,176.99115044247787
EK Dra,33.944331296673454
DM -48 6770,48.661800486618
Antares,185.18518518518516
DM -68 3563,307.6923076923077
HBV 475,5102.04081632653
WW Dra,115.34025374855824
He 3-1410,5000.0
DM -52 497,34.87966515521451
DM -38 7259,121.65450121654499
HR 5825,17.516202487300752
IX Per,67.79661016949152
HR 3085,232.01856148491882
HBC 633,149.92503748125938
DM -59 2548,2631.578947368421
CF Oct,39.761431411530815
DM +52 2350,70.2247191011236
PU Vul,350.8771929824561
SS 1-79,5000.0
54 Cam,101.6260162601626
V Hya,380.22813688212926
EE Peg,131.4060446780552
HR 1105,159.4896331738437
AB Aur,144.3001443001443
16 LAM And,25.813113061435207
UZ Lib,140.4494382022472
WL 20,149.92503748125938
WL 22,149.92503748125938
UX Mon,485.43689320388347
DM -64 1629,4016.064257028113
DG Tau B,140.84507042253523
EPS Mus,92.59259259259258
EQ Peg B,6.247657128576783
EQ Peg A,6.247657128576783
R Mon,800.0
CQ Aur,242.13075060532688
ZET Phe,85.76329331046313
TX UMa,210.97046413502107
ZET(1) Sco,1901.1406844106464
5 KAP Dra,152.67175572519082
DM +10 1172,800.0
S Cnc,343.64261168384877
HD 31281,140.84507042253523
DM -41 2833,454.5454545454545
RW Hya,599.880023995201
24 ALF PsA,7.687576875768756
10 ALF CMi,3.497359493582345
HH 24 IRS,454.5454545454545
TZ Men,106.951871657754
TW Lep,170.35775127768312
AT Mic A,10.224948875255624
V 505 Sgr,116.55011655011654
HD 283798,115.2073732718894
Cyg OB2-9,1801.8018018018017
V 822 Aql,1298.7012987012986
Ross 868 B,12.046741356463077
Ross 868 A,12.046741356463077
RY Sct,2000.0
BET Ret,30.57169061449098
DM -67 3791,30.750307503075025
HH 7-11 IRS,140.84507042253523
HBC 630,149.92503748125938
UX Com,168.35016835016833
HBC 634,149.92503748125938
V 1285 Aql,11.59151501101194
4 Dra,178.25311942959001
AY Cet,78.49293563579278
HR 7317,158.4786053882726
44 i Boo,12.756729174639622
DM +26 718,140.84507042253523
RX J0409.2+171,140.84507042253523
VLA 05417+0907,454.5454545454545
DM -10 2857,18.341892883345558
